pair_id,file_1,file_2,x1,y1,x2,y2,distance
65,P128.png,P231.png,5.5973096,11.228435,5.5367637,11.15516,0.09505278339854048
66,P270.png,P257.png,3.4264774,8.383527,3.500304,8.444888,0.09599759991041416
67,P250.png,P219.png,2.5897367,8.976752,2.6504,8.901781,0.09644006847721509
68,P168.png,P141.png,3.6584945,11.702569,3.5626552,11.674863,0.0997636900905838
69,P206.png,P233.png,5.866219,12.347615,5.950766,12.293692,0.10027903638348283
70,P130.png,P127.png,0.13531408,6.423103,0.038220506,6.4556613,0.10240705547462764
71,P275.png,P291.png,2.1778796,9.307808,2.1572146,9.40929,0.1035646587837769
72,P165.png,P265.png,-0.7451014,6.1411295,-0.6536161,6.193006,0.10517001173499965
73,P129.png,P262.png,-1.6846602,4.339713,-1.5879964,4.3821087,0.10555228850636071
74,P095.png,P069.png,-0.4554803,7.7453537,-0.3732156,7.6787376,0.10585454947851798
75,P068.png,P018.png,3.7902527,9.637922,3.728911,9.724629,0.10621161898723733
76,P049.png,P276.png,11.255947,5.1237793,11.283729,5.0196476,0.10777407141279344
77,P088.png,P117.png,12.504839,5.229287,12.454541,5.1336946,0.10801757144909341
78,P167.png,P140.png,3.3926008,9.686813,3.4852538,9.625449,0.1111310888320644
79,P046.png,P083.png,-0.72488654,7.5007944,-0.6427362,7.42441,0.11217510831497171
80,P132.png,P218.png,6.4910865,12.634072,6.471133,12.74475,0.11246226854483242
81,P245.png,P191.png,-0.54966885,6.264668,-0.4819241,6.172368,0.11449297424978803
82,P048.png,P079.png,4.7619,11.964423,4.8779144,11.966034,0.11602558480076719
83,P007.png,P067.png,5.423666,11.035025,5.347105,10.940822,0.12139107022347112
84,P125.png,P156.png,6.0821233,12.488055,5.9841924,12.559809,0.1214046856213136
85,P051.png,P109.png,1.6199588,9.739393,1.566102,9.849574,0.12263933980269201
86,P214.png,P124.png,5.9274917,9.726889,6.0380483,9.670964,0.12389659974575563
87,P211.png,P293.png,6.491641,12.490009,6.530005,12.371227,0.12482371577548985
88,P061.png,P268.png,-0.71574783,6.7165,-0.6532413,6.5999784,0.13222839921590515
89,P228.png,P201.png,4.4225807,10.875904,4.34188,10.988373,0.13842643873729416
90,P103.png,P241.png,12.272475,5.454294,12.346978,5.3375115,0.1385238221940546
91,P013.png,P032.png,10.879939,5.4542065,10.96691,5.3377743,0.14532863461080153
92,P006.png,P075.png,4.7304316,13.229137,4.785061,13.092944,0.1467409438205986
93,P239.png,P098.png,3.4356077,8.525004,3.5820904,8.504405,0.14792396763300378
94,P247.png,P093.png,4.0046926,11.416024,3.8762298,11.338452,0.150067005593635
95,P202.png,P084.png,-2.585483,3.6755538,-2.7288463,3.7216778,0.15060032922570252
96,P010.png,P261.png,4.391714,11.54674,4.239915,11.533058,0.15241434815987673
97,P151.png,P023.png,5.0601697,11.645052,4.946825,11.532084,0.160027466524001
98,P215.png,P143.png,5.186139,12.137454,5.3378067,12.082045,0.16147212918733034
99,P297.png,P256.png,2.2580004,9.703837,2.4113703,9.643614,0.16476994857986146
100,P004.png,P121.png,4.3875265,12.326673,4.2458954,12.239148,0.16649322542436917
